,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
AEROBIC_S,0.8924385415747516,0.17257731612690547,-0.00011993654618253628,-0.1838219179652827,0.24642079628800057,0.1761624216046178,-0.05745390951491688,-0.06480855267231411,0.2509454905112221,-0.1052719993147565
DAILY_FV,-0.11311962014779763,0.7198301679149045,-0.43681748595749836,-0.33849928542234803,0.29218338691413875,-0.31721368845920006,-0.07222609520931948,-0.021033397915964584,-0.06721359398641583,0.02860413174222947
SPH_GOOD ,0.39043210215317387,-0.28838777411239386,-0.46363250038408943,0.6948674626075557,0.23499010115435018,0.005442092455959181,-0.14226376203332766,-0.14550034986361643,-0.056512640478974786,0.008929744563772171
DAILY_SMOKE,-0.8674582893222087,0.019019470330446826,0.058585985002221966,0.04654554399771446,0.2396877717215629,0.07098855705758485,0.42202560686135215,-0.174345384098137,-0.009742600188610565,-0.061664064541073524
HEAVY_DRINKING ,0.6959530325123487,-0.5313623329603399,0.07362692523842654,-0.4240729072215113,0.13379377142269436,-0.007745002536714,-0.017821121604561355,-0.013967376223918164,-0.2070457041698207,-0.14155092474784708
AIR_POLL,-0.7476442859912491,-0.31269050855596076,-0.27193523451408935,-0.16319402245712325,0.336620029438251,0.329630933011049,-0.06623771777264736,0.21277851427643002,0.005562828107558426,0.06589588313622666
CULT_ACTIVITIES,0.9006186777601713,0.07875715221610408,-0.029367607211249456,-0.254006342702956,-0.02401545607868153,0.2600477773508963,0.12861949843824802,-0.13695609096398206,-0.0640100840552267,0.20745153015538303
FRIENDS_MEET,0.5768774508329626,0.6631317879329467,-0.12666492808384058,0.3174879568249844,-0.057168944912361186,0.2547930095070759,0.15179173861422976,0.1776106725704986,-0.1141883372724286,-0.09025707675123512
GR_WORK,0.16780937164000165,0.1854722261781969,0.877774786398798,0.23434306710787897,0.3560355767958253,-0.0676369690054386,-0.07906434708849001,0.04442785565548448,-0.04831534811738236,0.058929474608935495
CHOOSE_WORK ,0.7819042448845989,-0.37353838838013603,-0.15321449893633096,0.0949561355614091,0.1058028795343308,-0.32183435749716155,0.3037247130117061,0.18322257386911525,0.07921516102955597,0.05541614941972143
